ID,State,YEAR,Asset,Equity,Financial Leverage,Financial Leverage Ratio,Equity Net Income,IR,ROA,latitude,longitude
CB_2011_TN,Tennessee,2011,79408473,8923514,8.898789535,2.898789535,195252,0.011373383,0.243086559,35.81548238,-86.44272393
CB_2011_TX,Texas,2011,330016795,36917590,8.939283279,2.939283279,3461966,0.011373383,1.037096228,31.48480704,-98.13369455
CB_2011_UT,Utah,2011,314627128,44762073,7.028877505,1.028877505,5658012,0.011373383,1.777869981,39.2540654,-111.5735908
CB_2011_VA,Virginia,2011,474376771,58298355,8.137052426,2.137052426,5015636,0.011373383,1.045285426,37.51845036,-78.43496725
CB_2011_VI,Virgin Islands Of The U.S.,2011,220769,26694,8.270360381,2.270360381,525,0.011373383,0.235100478,18.09237106,-64.84341306
CB_2011_VT,Vermont,2011,4108196,351804,11.67751362,5.67751362,33064,0.011373383,0.795676508,44.07502047,-72.75660342
CB_2011_WA,Washington,2011,40295840,4761768,8.462369439,2.462369439,210779,0.011373383,0.517129633,47.46824247,-120.9704813
CB_2011_WI,Wisconsin,2011,79016687,9104097,8.67924485,2.67924485,513773,0.011373383,0.64281316,44.34315651,-89.70765832
CB_2011_WV,West Virginia,2011,25580704,2715336,9.420824531,3.420824531,220292,0.011373383,0.851370371,38.67690177,-80.83515037
CB_2011_WY,Wyoming,2011,7391220,734337,10.06516082,4.06516082,49814,0.011373383,0.666296583,42.86022637,-107.6590035
CB_2010_AK,Alaska,2010,4497063,611044,7.359638586,1.359638586,59012,0.020607367,1.285192537,61.33431076,-152.6871729
CB_2010_AL,Alabama,2010,224105632,30641534,7.313786314,1.313786314,-475042,0.020607367,-0.207604169,32.63330898,-86.76992225
CB_2010_AR,Arkansas,2010,55431836,6030728,9.191566259,3.191566259,414231,0.020607367,0.731880484,35.0732061,-92.236676
CB_2010_AS,American Samoa,2010,129939,17421,7.458756673,1.458756673,1296,0.020607367,0.976837479,14.24371639,-169.9348184
CB_2010_AZ,Arizona,2010,13573658,1546672,8.776041721,2.776041721,-144984,0.020607367,-1.046116393,34.0003639,-111.4947231
CB_2010_CA,California,2010,430592250,54179461,7.947518156,1.947518156,2038274,0.020607367,0.46361042,36.98096231,-120.0946519
CB_2010_CO,Colorado,2010,45318623,3953024,11.4642924,5.4642924,-64379,0.020607367,-0.139131143,39.19933508,-105.6264691
CB_2010_CT,Connecticut,2010,25314164,2740774,9.236136945,3.236136945,67263,0.020607367,0.26023726,41.55935152,-72.70859702
CB_2010_DC,District Of Columbia,2010,1626131,171515,9.48098417,3.48098417,8699,0.020607367,0.523926825,38.86872333,-77.00747583
CB_2010_DE,Delaware,2010,849493347,116538964,7.289350427,1.289350427,8526777,0.020607367,0.983063918,39.24735872,-75.54971961
CB_2010_FL,Florida,2010,102580915,10163436,10.09313337,4.09313337,-1328283,0.020607367,-1.268179938,28.19851121,-81.99087212
CB_2010_GA,Georgia,2010,261860853,28307032,9.250735047,3.250735047,-1976133,0.020607367,-0.739098678,32.6948752,-83.45712495
CB_2010_GU,Guam,2010,1159730,102032,11.36633605,5.36633605,7339,0.020607367,0.61977896,13.48345,-144.7959825
CB_2010_HI,Hawaii,2010,33656006,3835469,8.774938867,2.774938867,146632,0.020607367,0.426700365,20.98874576,-157.2086999
CB_2010_IA,Iowa,2010,59296930,5943987,9.975952168,3.975952168,506736,0.020607367,0.836963238,41.94750209,-93.43162288
CB_2010_ID,Idaho,2010,6252672,732824,8.532296977,2.532296977,-58747,0.020607367,-0.920188665,44.58138512,-114.9426578
CB_2010_IL,Illinois,2010,294850707,27462429,10.73651231,4.73651231,627745,0.020607367,0.208515297,40.26787428,-88.95566876
CB_2010_IN,Indiana,2010,55138567,5610384,9.827948853,3.827948853,267865,0.020607367,0.475792212,40.1633986,-86.19105122
CB_2010_KS,Kansas,2010,50166129,5256150,9.544272709,3.544272709,230419,0.020607367,0.449846691,38.42146235,-98.08560159
CB_2010_KY,Kentucky,2010,51671493,5228524,9.882615629,3.882615629,406763,0.020607367,0.770987371,37.51944462,-85.49268128
CB_2010_LA,Louisiana,2010,56432464,5878101,9.600458379,3.600458379,236267,0.020607367,0.410044401,31.18916971,-92.05054183
CB_2010_MA,Massachusetts,2010,181238088,19218767,9.430266156,3.430266156,2108662,0.020607367,1.139500008,42.1798975,-71.55575236
CB_2010_MD,Maryland,2010,23240675,2309956,10.06108991,4.06108991,-25851,0.020607367,-0.108939516,38.97602171,-76.81425542
CB_2010_ME,Maine,2010,17274025,1916896,9.011456542,3.011456542,48791,0.020607367,0.276632377,44.84531507,-69.25283734
CB_2010_MI,Michigan,2010,49585777,4431764,11.18872237,5.18872237,-321054,0.020607367,-0.634129263,43.67083025,-84.88541961
CB_2010_MN,Minnesota,2010,55657058,5546714,10.03423973,4.03423973,168446,0.020607367,0.296413029,45.6859403,-94.22007026
CB_2010_MO,Missouri,2010,113105257,10616067,10.65415817,4.65415817,552831,0.020607367,0.47870331,38.27735146,-92.32851702
CB_2010_MS,Mississippi,2010,58683484,6050589,9.698805191,3.698805191,318659,0.020607367,0.53182302,32.87465806,-89.54541929
CB_2010_MT,Montana,2010,21672583,2300428,9.421109028,3.421109028,135138,0.020607367,0.610693989,47.0749357,-110.1561223
CB_2010_NC,North Carolina,2010,1719427008,197621745,8.700596222,2.700596222,9116046,0.020607367,0.519253696,35.49967047,-79.10223033
CB_2010_ND,North Dakota,2010,23174009,2363808,9.803676525,3.803676525,243346,0.020607367,1.028442164,47.53318374,-99.87728715
CB_2010_NE,Nebraska,2010,48068471,4866583,9.87725289,3.87725289,548601,0.020607367,1.117771726,41.27923812,-98.79016149
CB_2010_NH,New Hampshire,2010,2784423,300002,9.281348124,3.281348124,-20484,0.020607367,-0.720503986,43.40460397,-71.65968883
CB_2010_NJ,New Jersey,2010,63445727,6200278,10.23272295,4.23272295,322187,0.020607367,0.497350396,40.21945002,-74.63439848
CB_2010_NM,New Mexico,2010,17285581,1525164,11.33358839,5.33358839,7801,0.020607367,0.044200088,34.43756761,-105.9641391
CB_2010_NV,Nevada,2010,1190610156,135445879,8.790301815,2.790301815,8894858,0.020607367,0.731688568,38.6258707,-116.7215876
CB_2010_NY,New York,2010,524302195,69062976,7.591653667,1.591653667,4501973,0.020607367,0.840965236,42.48277663,-75.35484467
CB_2010_OH,Ohio,2010,2244889544,186530250,12.0349892,6.0349892,17208637,0.020607367,0.750772453,40.39667963,-82.88624562
CB_2010_OK,Oklahoma,2010,68185647,6343204,10.74940156,4.74940156,726037,0.020607367,1.042851861,35.52994365,-97.3002328
CB_2010_OR,Oregon,2010,37459876,4132582,9.064520922,3.064520922,386038,0.020607367,1.009300653,44.34036466,-121.8863932
CB_2010_PA,Pennsylvania,2010,127700134,15288602,8.352636428,2.352636428,849914,0.020607367,0.651839183,40.69615224,-77.75397076
CB_2010_PR,Puerto Rico,2010,77785698,7102585,10.95174475,4.95174475,-642345,0.020607367,-0.808770734,18.30369498,-66.13640477
CB_2010_RI,Rhode Island,2010,132668350,19364524,6.851103079,0.851103079,386940,0.020607367,0.285649279,41.54868176,-71.49908653
CB_2010_SC,South Carolina,2010,30925936,2856881,10.82506972,4.82506972,-52657,0.020607367,-0.166759311,33.91439857,-80.74432706
CB_2010_SD,South Dakota,2010,1286310835,150628499,8.539624597,2.539624597,11622183,0.020607367,0.884909005,44.29870337,-99.72353599
CB_2010_TN,Tennessee,2010,81106700,8897817,9.11534818,3.11534818,69012,0.020607367,0.083334477,35.81548238,-86.44272393
CB_2010_TX,Texas,2010,312079484,34607891,9.017581684,3.017581684,2819121,0.020607367,0.884718951,31.48480704,-98.13369455
CB_2010_UT,Utah,2010,287600492,40751879,7.057355368,1.057355368,3828619,0.020607367,1.303795142,39.2540654,-111.5735908
CB_2010_VA,Virginia,2010,443046171,54402873,8.14380099,2.14380099,4658871,0.020607367,1.029884521,37.51845036,-78.43496725
CB_2010_VI,Virgin Islands Of The U.S.,2010,193512,23396,8.271157463,2.271157463,994,0.020607367,0.503077988,18.09237106,-64.84341306
CB_2010_VT,Vermont,2010,3845578,334398,11.50000299,5.50000299,34585,0.020607367,0.880811525,44.07502047,-72.75660342
CB_2010_WA,Washington,2010,42646786,4479593,9.520236772,3.520236772,-349320,0.020607367,-0.80222091,47.46824247,-120.9704813
CB_2010_WI,Wisconsin,2010,128727481,14114968,9.119927229,3.119927229,-462341,0.020607367,-0.351761229,44.34315651,-89.70765832
CB_2010_WV,West Virginia,2010,24492063,2551382,9.599528021,3.599528021,204622,0.020607367,0.81824581,38.67690177,-80.83515037
CB_2010_WY,Wyoming,2010,6981825,693934,10.0612234,4.0612234,39124,0.020607367,0.54882151,42.86022637,-107.6590035
CB_2009_AK,Alaska,2009,4341052,630184,6.888546837,0.888546837,54123,0.024688289,1.215990864,61.33431076,-152.6871729
CB_2009_AL,Alabama,2009,239706923,31925062,7.508424666,1.508424666,-3039420,0.024688289,-1.236669298,32.63330898,-86.76992225
CB_2009_AR,Arkansas,2009,52731347,5566259,9.473390836,3.473390836,296047,0.024688289,0.547564442,35.0732061,-92.236676
CB_2009_AS,American Samoa,2009,149856,16125,9.293395349,3.293395349,-504,0.024688289,-0.328019634,14.24371639,-169.9348184
CB_2009_AZ,Arizona,2009,14519487,1549313,9.371564687,3.371564687,-452411,0.024688289,-3.038962372,34.0003639,-111.4947231
CB_2009_CA,California,2009,408311711,48172278,8.476072296,2.476072296,-823721,0.024688289,-0.196757702,36.98096231,-120.0946519
CB_2009_CO,Colorado,2009,47727501,4340486,10.99588871,4.99588871,-83192,0.024688289,-0.170002892,39.19933508,-105.6264691
CB_2009_CT,Connecticut,2009,25536520,2504951,10.19441897,4.19441897,-73320,0.024688289,-0.280029756,41.55935152,-72.70859702
CB_2009_DC,District Of Columbia,2009,1491293,159042,9.376724387,3.376724387,5829,0.024688289,0.38121898,38.86872333,-77.00747583
CB_2009_DE,Delaware,2009,714266823,116646334,6.123354232,0.123354232,-22855932,0.024688289,-3.120914682,39.24735872,-75.54971961
CB_2009_FL,Florida,2009,114431745,10462434,10.93739229,4.93739229,-2213190,0.024688289,-1.886321078,28.19851121,-81.99087212
CB_2009_GA,Georgia,2009,263730436,28122297,9.377983456,3.377983456,-3453630,0.024688289,-1.277200249,32.6948752,-83.45712495
